Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/biocloud/v1/face/vis/register?nonce=rRD4lsjc11CjJXsN&timestamp=1732085626&signature=e67f8f2dc3f280aeed24f4b835eb23f6189e2e13beda505314391f3d4c0e0a7b&templateId=aaY9nWa,1,0,2868.588200013619,2868.588200013619,2868.588200013619,2868.588200013619,1558.0,0.01503358034050147,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
POST,/biocloud/v1/face/vis/register?nonce=uf4wn7xqTJuj0JfZ&timestamp=1732085654&signature=6cc28368f735071d4b1df557fd6f1887c93a36dccf703e63cbaecc03b82c9591&templateId=5GJHKeu,1,0,812.9147000145167,812.9147000145167,812.9147000145167,812.9147000145167,81.0,0.01503358034050147,0.0,810,810,810,810,810,810,810,810,810,810,810
POST,/biocloud/v1/face/vis/register?nonce=unbi3jbhve3Rbiwh&timestamp=1732085658&signature=345ab1d0e08459089f373b848fdb330d4abd6cab50f032a76c6b95d189ec2928&templateId=4CoJVj1,1,0,3640.2779999771155,3640.2779999771155,3640.2779999771155,3640.2779999771155,1558.0,0.01503358034050147,0.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
POST,/biocloud/v1/face/vis/register?nonce=wNd7uEmVuDSpLAPh&timestamp=1732085601&signature=f3f86dae5c130072ae5db9520e521ca6701523993a11b95bb8232542f097aba7&templateId=93lBgeg,1,0,1027.3837000131607,1027.3837000131607,1027.3837000131607,1027.3837000131607,81.0,0.01503358034050147,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/biocloud/v1/face/vis/register?nonce=wmtYmMeXjUe9lmAn&timestamp=1732085659&signature=5e20f011480321e2a9b55de573b0d1da5e3314621eabfda28f30a51127f80c46&templateId=dQXfgio,1,0,4366.365600028075,4366.365600028075,4366.365600028075,4366.365600028075,1569.0,0.01503358034050147,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
POST,/biocloud/v1/face/vis/register?nonce=xyluoksZQjl015Xv&timestamp=1732085616&signature=a9a2a1c05aecf823804975a395837093402c570e54c1e64f721b1eb6f1ee46b8&templateId=b3SDvW7,1,0,5481.685800012201,5481.685800012201,5481.685800012201,5481.685800012201,1569.0,0.01503358034050147,0.0,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
POST,/biocloud/v1/face/vis/register?nonce=zD3MUoKx08pCrLPT&timestamp=1732085638&signature=066f9c047542f6861c3c65850a930405f2896512cdf74b6411675230cd43db4e&templateId=B64AfZC,1,0,3898.8022000412457,3898.8022000412457,3898.8022000412457,3898.8022000412457,1569.0,0.01503358034050147,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
POST,/biocloud/v1/face/vis/register?nonce=zfy0hSCsI33nfhbI&timestamp=1732085638&signature=357aae5a3abbadc190b0308511d455ee0bf755e3546b9054cc2a5d99494d77b4&templateId=bbGhcV0,1,0,5279.635799990501,5279.635799990501,5279.635799990501,5279.635799990501,1558.0,0.01503358034050147,0.0,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
POST,/biocloud/v1/face/vis/register?nonce=zt9ZIttQBBSQXYxp&timestamp=1732085614&signature=2108bdb64ac7eeb5ef9fff3706b32740761db96b4fdfd88c8d93e1cdcd68cfd5&templateId=2lq6Lhf,1,0,4453.992800030392,4453.992800030392,4453.992800030392,4453.992800030392,1569.0,0.01503358034050147,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
,Aggregated,57,5,3100.0,2823.2024350936786,46.81920004077256,6568.3200000203215,986.6315789473684,0.8569140794085838,0.07516790170250735,3100,3900,4200,4500,5500,6000,6400,6600,6600,6600,6600
